city,date,time,product_name,image_url,content_below_name,pieces,offer_percentage,actual_price,selling_price,delivery_time,ad_status,which_product
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent 3 in1 Incense Pack,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/4/4/c13cac9b-03c1-4413-9f07-692a41b48226_80710_1.png",Invigorate Your Senses with Long-Lasting Aroma,213 g,12,125,110,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,"Mangaldeep Chandan 3 In1 Agarbatti Classic Chandan, Rose Chandan & Jasmine Chandan","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/4/24/c870f1f0-625e-4379-a3b9-7b46761ee005_poojaneeds_28BKHOZNVI_MN.png","Fragrant Trio of Classic Chandan, Rose & Jasmine Incense",226 g,12,125,110,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep 3 in 1 Agarbatti Premium quality charcoal free Long lasting fragrances,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/4/24/96f66387-ed8d-40f8-80f4-1805e12200ba_poojaneeds_QP2ADLFNUI_MN.png",Charcoal-free agarbatti with long-lasting fragrance,106 g,15,65,55,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent Radiance Burst - Luxury Incense Sticks,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/11/20/647d086a-e040-4a27-bc55-465a473154f6_462812_1.png",,40 Sticks,12,225,198,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Sandal Agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/f158c3690db13ceecc5a2ae86b8bd0ca",Sandalwood-scented incense sticks,1 pack,10,65,58,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Shubhkart Nirmal 3 In 1 Premium Agarbatti,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/27/b97f755b-81e0-4169-bfd1-fd1665893c73_927663_1.png",Premium agarbatti combo with 3 divine fragrances,110 g,27,65,47,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Temple Gold Yagna Tradition Agarbatti 40 Sticks Box,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/17/756abf16-1abd-4749-9342-3c418d7c5ff4_21618_1.png",Traditional incense sticks for prayer and meditation,70 g,6,75,70,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent Premium Dhoop Cones - with Lavender & Amber fragrances (40 cones),"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/21/dd2424ea-bcb5-44b6-bdcc-bcb68960e700_143034_1.png",Premium dhoop cones with calming fragrances,40 pieces,10,150,135,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Mangaldeep Scent Cool Splash - Luxury Incense Sticks,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/11/20/38f1f64a-d407-4b30-bac8-a21f408c689c_288542_1.png",,40 Sticks,12,225,198,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
Chennai South 600041,21-12-2025,11:56:29 AM,Zed Black 3-in-1 Large Pack with Matchbox,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/5/15b2143b-96fd-4cd0-bb34-17b49c1cd909_39980_1.png",Premium incense set with matchbox,100 g,21,60,47,9 MINS,Organic,Mangaldeep 3 in 1 Premium Incense
